,UniProt1,UniProt2,symbol1,symbol2,evidence type
508,O95267,Q8WXK1,RASGRP1,ASB15,pred
509,O95267,Q07889,RASGRP1,SOS1,pred
510,O95267,Q9NSE2,RASGRP1,CISH,pred
511,O95267,Q96Q27,RASGRP1,ASB2,pred
512,O95267,Q8WZ42,RASGRP1,TTN,pred
513,O95267,Q96S79,RASGRP1,RASL10B,pred
514,O95267,Q13325,RASGRP1,IFIT5,pred
515,O95267,P19174,RASGRP1,PLCG1,pred
516,O95267,P05771,RASGRP1,PRKCB,pred
517,O95267,Q96DX5,RASGRP1,ASB9,pred
518,O95267,Q9NZ72,RASGRP1,STMN3,pred
519,O95267,Q8N5H7,RASGRP1,SH2D3C,pred
520,O95352,Q13546,ATG7,RIPK1,exp;pred
521,O95361,P23510,TRIM16,TNFSF4,pred
522,O95373,P21580,IPO7,TNFAIP3,pred
523,O95373,Q13546,IPO7,RIPK1,pred
524,O95379,P19878,TNFAIP8,NCF2,pred
525,O95379,P21580,TNFAIP8,TNFAIP3,pred
526,O95382,Q13546,MAP3K6,RIPK1,pred
527,O95390,P02741,GDF11,CRP,exp
528,O95411,Q13546,TIAF1,RIPK1,pred
529,O95429,Q13546,BAG4,RIPK1,pred
