,interactor
1565,TNFRSF4
1566,DNASE1L1
1567,OTUD1
1568,IGHG4
1569,PSME3
1570,LTB
1571,TRPS1
1572,RAC2
1573,ALPI
1574,NFKBIA
1575,PTPRD
1576,ADORA2A
1577,SSX2IP
1578,MBL2
1579,BTLA
1580,CYB5R4
1581,CSF1R
1582,C5AR2
1583,CD40LG
1584,CLPX
1585,NID2
1586,EIF2AK1
1587,PRKCD
1588,ICAM5
1589,VWA2
1590,MILR1
1591,UBE2V2
1592,HDAC7
1593,CD33
1594,SGTA
1595,FASN
1596,GRK2
1597,AXL
1598,CEACAM5
1599,IPO8
1600,AHI1
1601,DUSP3
1602,PTPRG
1603,ACOT12
1604,GART
1605,PTPN23
1606,MAP3K3
1607,TAOK1
1608,UBXN10
1609,RPTOR
1610,DAGLB
1611,ARRDC3
1612,SLA
1613,CDC42BPA
1614,RAB15
1615,TNFSF9
1616,ADAM9
1617,GOLGA2
1618,GPX1
1619,CD80
1620,PDE4B
1621,NFATC2
1622,MNDA
1623,CD276
1624,IL18RAP
1625,KAT2B
1626,PRKCI
1627,CLK4
1628,FGL1
1629,STRADA
1630,FLII
1631,PIAS1
1632,TMSB4X
1633,TYROBP
1634,DOK1
1635,IDH1
1636,C1S
1637,JAM3
1638,BARD1
1639,NCL
1640,CASK
1641,PTPRA
1642,IL10RA
1643,LGALS8
1644,ATP5A1
1645,HIST2H4A
1646,PAK4
1647,CBL
1648,TNFSF11
1649,XPO1
1650,HLA-DRA
1651,CCND3
1652,TNFRSF13B
1653,SH3RF2
1654,B4GALT3
1655,GRAP2
1656,LST1
1657,STK16
1658,ITGAE
1659,SGK1
1660,S100A4
1661,FOXM1
1662,IL2RB
1663,PPP1CB
1664,AKT1
1665,IKBKG
1666,SMARCA4
1667,KIR3DS1
1668,RIBC2
1669,CSNK2A2
1670,TIE1
1671,PTPRS
1672,NEK6
1673,MYBPH
1674,BAG2
1675,HLA-C
1676,GAK
1677,GEM
1678,GC
1679,PYCARD
1680,NCOA4
1681,GNB4
1682,MYO15B
1683,KIAA0753
1684,TNK2
1685,RBCK1
1686,NUAK2
1687,CAMKK2
1688,RABGEF1
1689,FUS
1690,NDUFB10
1691,FGR
1692,RANBP9
1693,HLA-B
1694,FLT1
1695,SNX17
1696,ZP2
1697,TIAF1
1698,NTN3
1699,TTK
1700,KRTAP10-7
1701,ZRANB1
1702,ATF3
1703,GHR
1704,CD27
1705,SMAD3
1706,HSP90AA1
1707,YWHAG
1708,HADHA
1709,FGFR2
1710,RAB6B
1711,ITIH1
1712,HSPA5
