"UniProt1","UniProt2","symbol1","symbol2","evidence type"
"O60602","Q9NPH3","TLR5","IL1RAP","pred"
"O60602","Q9Y6Y9","TLR5","LY96","pred"
"O60602","Q13478","TLR5","IL18R1","pred"
"O60602","Q9HC29","TLR5","NOD2","pred"
"O60602","Q9H0E2","TLR5","TOLLIP","pred"
"O60602","P15813","TLR5","CD1D","pred"
"O60602","Q9NR97","TLR5","TLR8","pred"
"O60602","Q9Y3E5","TLR5","PTRH2","exp"
"O60602","P19838","TLR5","NFKB1","pred"
"O60602","P08571","TLR5","CD14","pred"
"O60602","P08047","TLR5","SP1","pred"
"O60602","Q9BXN2","TLR5","CLEC7A","pred"
"O60602","Q14116","TLR5","IL18","pred"
"O60602","Q8IXA5","TLR5","SPACA3","pred"
"O60602","O95727","TLR5","CRTAM","pred"
"O60602","P32519","TLR5","ELF1","pred"
"O60602","P42229","TLR5","STAT5A","pred"
"O60602","Q9NR96","TLR5","TLR9","pred"
"O60602","Q9H257","TLR5","CARD9","pred"
"O60602","Q92692","TLR5","NECTIN2","pred"
"O60602","P08575","TLR5","PTPRC","pred"
"O60602","Q9HB29","TLR5","IL1RL2","pred"
"O60602","Q8NET5","TLR5","NFAM1","pred"
"O60603","P11215","TLR2","ITGAM","pred"
"O60603","P19878","TLR2","NCF2","pred"
"O60603","Q13568","TLR2","IRF5","pred"
"O60667","P19878","FCMR","NCF2","pred"
"O60674","P16410","JAK2","CTLA4","exp;ortho;pred"
"O60674","P29376","JAK2","LTK","pred"
"O60674","P31994","JAK2","FCGR2B","pred"
"O60674","Q13546","JAK2","RIPK1","pred"
"O60674","Q14765","JAK2","STAT4","pred"
"O60674","Q9Y2R2","JAK2","PTPN22","pred"
"O60684","Q13568","KPNA6","IRF5","exp"
"O60733","P24855","PLA2G6","DNASE1","pred"
"O60759","P19878","CYTIP","NCF2","pred"
"O60825","P21580","PFKFB2","TNFAIP3","pred"
"O60880","P19878","SH2D1A","NCF2","pred"
"O60880","P31994","SH2D1A","FCGR2B","exp"
"O60880","Q14765","SH2D1A","STAT4","pred"
"O60882","P02741","MMP20","CRP","pred"
"O60890","P19878","OPHN1","NCF2","pred"
"O60934","Q9NSU2","NBN","TREX1","exp"
"O60936","Q13546","NOL3","RIPK1","pred"
"O60939","P0C0L4","SCN2B","C4A","exp"
"O75015","P02741","FCGR3B","CRP","pred"
"O75015","P11215","FCGR3B","ITGAM","pred"
"O75015","P19878","FCGR3B","NCF2","pred"
"O75015","P31994","FCGR3B","FCGR2B","pred"
"O75022","P11215","LILRB3","ITGAM","pred"
"O75044","P19878","SRGAP2","NCF2","pred"
"O75144","P11215","ICOSLG","ITGAM","pred"
"O75144","P16410","ICOSLG","CTLA4","pred"
"O75159","O95267","SOCS5","RASGRP1","pred"
"O75159","Q14765","SOCS5","STAT4","pred"
"O75326","P31994","SEMA7A","FCGR2B","pred"
"O75340","Q13546","PDCD6","RIPK1","pred"
"O75364","P0C0L5","PITX3","C4B;C4B_2","exp"
"O75376","Q13568","NCOR1","IRF5","exp"
"O75379","P16410","VAMP4","CTLA4","pred"
"O75382","P21580","TRIM3","TNFAIP3","exp"
"O75385","P29376","ULK1","LTK","pred"
"O75385","Q13546","ULK1","RIPK1","pred"
"O75443","P11215","TECTA","ITGAM","pred"
"O75445","P02741","USH2A","CRP","pred"
"O75460","Q13546","ERN1","RIPK1","exp;pred"
"O75493","P02741","CA11","CRP","exp"
"O75493","Q13546","CA11","RIPK1","pred"
"O75509","Q13546","TNFRSF21","RIPK1","pred"
"O75563","Q9Y2R2","SKAP2","PTPN22","exp"
"O75578","P11215","ITGA10","ITGAM","pred"
"O75592","P21580","MYCBP2","TNFAIP3","pred"
"O75604","Q13546","USP2","RIPK1","exp"
"O75618","Q13546","DEDD","RIPK1","pred"
"O75626","Q14765","PRDM1","STAT4","pred"
"O75636","P02741","FCN3","CRP","pred"
"O75643","P21580","SNRNP200","TNFAIP3","pred"
"O75688","O95267","PPM1B","RASGRP1","exp"
"O75688","P21580","PPM1B","TNFAIP3","pred"
"O75688","Q13546","PPM1B","RIPK1","pred"
"O75716","Q13546","STK16","RIPK1","pred"
"O75783","P24855","RHBDL1","DNASE1","pred"
"O75791","O95267","GRAP2","RASGRP1","pred"
"O75791","Q9Y2R2","GRAP2","PTPN22","pred"
"O75874","Q9Y2R2","IDH1","PTPN22","pred"
"O75882","P0C0L4","ATRN","C4A","pred"
"O75888","P23510","TNFSF13","TNFSF4","pred"
"O75914","P19878","PAK3","NCF2","pred"
"O75925","Q14765","PIAS1","STAT4","pred"
"O75928","Q14765","PIAS2","STAT4","exp"
"O75962","Q13546","TRIO","RIPK1","pred"
"O75973","P24855","C1QL1","DNASE1","pred"
"O75995","P19878","SASH3","NCF2","pred"
"O75995","Q14765","SASH3","STAT4","pred"
"O76009","P24855","KRT33A","DNASE1","pred"
"O76036","P0C0L5","NCR1","C4B;C4B_2","pred"
"O76039","Q13546","CDKL5","RIPK1","pred"
"O76061","P02741","STC2","CRP","exp"
"O76075","P24855","DFFB","DNASE1","pred"
"O76075","Q13609","DFFB","DNASE1L3","pred"
"O76080","P21580","ZFAND5","TNFAIP3","exp"
"O76080","Q13546","ZFAND5","RIPK1","exp"
"O94768","Q13546","STK17B","RIPK1","pred"
"O94804","Q13546","STK10","RIPK1","pred"
"O94806","Q13546","PRKD3","RIPK1","pred"
"O94813","P0C0L4","SLIT2","C4A","pred"
"O94813","P11215","SLIT2","ITGAM","pred"
"O94832","Q13546","MYO1D","RIPK1","pred"
"O94868","P19878","FCHSD2","NCF2","pred"
"O94885","P19878","SASH1","NCF2","pred"
"O94888","P19878","UBXN7","NCF2","pred"
"O94921","P21580","CDK14","TNFAIP3","pred"
"O94921","Q13546","CDK14","RIPK1","pred"
"O94972","P21580","TRIM37","TNFAIP3","pred"
"O94986","Q13568","CEP152","IRF5","exp"
"O95084","P02741","PRSS23","CRP","exp"
"O95150","P23510","TNFSF15","TNFSF4","pred"
"O95150","Q13546","TNFSF15","RIPK1","pred"
"O95163","P21580","ELP1","TNFAIP3","pred"
"O95166","Q13546","GABARAP","RIPK1","pred"
"O95256","P11215","IL18RAP","ITGAM","pred"
"O95267","Q8WXI2","RASGRP1","CNKSR2","pred"
"O95267","O95294","RASGRP1","RASAL1","pred"
"O95267","Q9NRJ4","RASGRP1","TULP4","pred"
"O95267","P62070","RASGRP1","RRAS2","pred"
"O95267","Q9UN86","RASGRP1","G3BP2","pred"
"O95267","Q96BD6","RASGRP1","SPSB1","pred"
"O95267","Q02779","RASGRP1","MAP3K10","pred"
"O95267","Q99619","RASGRP1","SPSB2","pred"
"O95267","P59190","RASGRP1","RAB15","pred"
"O95267","Q6ZV89","RASGRP1","SH2D5","pred"
"O95267","Q96D21","RASGRP1","RASD2","pred"
"O95267","Q9NYI0","RASGRP1","PSD3","pred"
"O95267","Q13574","RASGRP1","DGKZ","exp;pred"
"O95267","Q8WXI3","RASGRP1","ASB10","pred"
"O95267","Q8TAI7","RASGRP1","RHEBL1","pred"
"O95267","Q9NR81","RASGRP1","ARHGEF3","pred"
"O95267","Q9ULW5","RASGRP1","RAB26","pred"
"O95267","Q96P47","RASGRP1","AGAP3","pred"
"O95267","P55290","RASGRP1","CDH13","pred"
"O95267","Q9UHV5","RASGRP1","RAPGEFL1","pred"
"O95267","Q9Y576","RASGRP1","ASB1","pred"
"O95267","P62993","RASGRP1","GRB2","pred"
"O95267","P06239","RASGRP1","LCK","pred"
"O95267","P46109","RASGRP1","CRKL","pred"
"O95267","Q8WXH5","RASGRP1","SOCS4","pred"
"O95267","Q05513","RASGRP1","PRKCZ","pred"
"O95267","Q9Y575","RASGRP1","ASB3","pred"
"O95267","Q9BR09","RASGRP1","NEURL2","pred"
"O95267","P20936","RASGRP1","RASA1","pred"
"O95267","Q8WXK3","RASGRP1","ASB13","pred"
"O95267","Q5VST9","RASGRP1","OBSCN","pred"
"O95267","Q14155","RASGRP1","ARHGEF7","pred"
"O95267","Q9NYB9","RASGRP1","ABI2","pred"
"O95267","P20337","RASGRP1","RAB3B","pred"
"O95267","P52735","RASGRP1","VAV2","pred"
"O95267","Q9Y272","RASGRP1","RASD1","pred"
"O95267","P01112","RASGRP1","HRAS","exp;pred"
"O95267","Q9NYS0","RASGRP1","NKIRAS1","pred"
"O95267","P78423","RASGRP1","CX3CL1","pred"
"O95267","P01116","RASGRP1","KRAS","pred"
"O95267","Q9NYS7","RASGRP1","WSB2","pred"
"O95267","Q96A44","RASGRP1","SPSB4","pred"
"O95267","Q6ZV73","RASGRP1","FGD6","pred"
"O95267","Q9NRW1","RASGRP1","RAB6B","pred"
"O95267","Q13387","RASGRP1","MAPK8IP2","pred"
"O95267","Q99819","RASGRP1","ARHGDIG","pred"
"O95267","P24723","RASGRP1","PRKCH","pred"
"O95267","Q86WV1","RASGRP1","SKAP1","pred"
"O95267","Q8WXH4","RASGRP1","ASB11","pred"
"O95267","P40337","RASGRP1","VHL","exp"
"O95267","Q9NUT2","RASGRP1","ABCB8","exp"
"O95267","Q02156","RASGRP1","PRKCE","pred"
"O95267","Q96S21","RASGRP1","RAB40C","pred"
"O95267","P20336","RASGRP1","RAB3A","pred"
"O95267","Q76G19","RASGRP1","PDZD4","pred"
"O95267","Q12829","RASGRP1","RAB40B","pred"
"O95267","Q9H765","RASGRP1","ASB8","pred"
"O95267","Q8N5V2","RASGRP1","NGEF","pred"
"O95267","Q8WXH6","RASGRP1","RAB40A","pred"
"O95267","Q8WXK1","RASGRP1","ASB15","pred"
"O95267","Q07889","RASGRP1","SOS1","pred"
"O95267","Q9NSE2","RASGRP1","CISH","pred"
"O95267","Q96Q27","RASGRP1","ASB2","pred"
"O95267","Q8WZ42","RASGRP1","TTN","pred"
"O95267","Q96S79","RASGRP1","RASL10B","pred"
"O95267","Q13325","RASGRP1","IFIT5","pred"
"O95267","P19174","RASGRP1","PLCG1","pred"
"O95267","P05771","RASGRP1","PRKCB","pred"
"O95267","Q96DX5","RASGRP1","ASB9","pred"
"O95267","Q9NZ72","RASGRP1","STMN3","pred"
"O95267","Q8N5H7","RASGRP1","SH2D3C","pred"
"O95352","Q13546","ATG7","RIPK1","exp;pred"
"O95361","P23510","TRIM16","TNFSF4","pred"
"O95373","P21580","IPO7","TNFAIP3","pred"
"O95373","Q13546","IPO7","RIPK1","pred"
"O95379","P19878","TNFAIP8","NCF2","pred"
"O95379","P21580","TNFAIP8","TNFAIP3","pred"
"O95382","Q13546","MAP3K6","RIPK1","pred"
"O95390","P02741","GDF11","CRP","exp"
"O95411","Q13546","TIAF1","RIPK1","pred"
"O95429","Q13546","BAG4","RIPK1","pred"
